[*] Record ID,High impact job before?,Course,Iteration,Role,Source,Evaluation,Decision,Attendance,Project quality,High impact job after?
rec005agCdEPVwSoK,Unknown,Intro to Transformative AI,Intro to Transformative AI (2024 Dec W49),Participant,Organic Social Media,Weak no,Reject,0%,,Unknown
rec00EbKjGO1lNsaf,Unknown,Pandemics,Pandemics (2024 Sep W40),Facilitator,Referral,Strong no,Reject,0%,,Unknown
rec00HpkswNE6SQ8m,Unknown,Intro to Transformative AI,Intro to Transformative AI (2024 Dec W49),Participant,Organic Social Media,Weak yes,Reject,0%,,Unknown
rec00jYe5qRf08miq,No,Pandemics,Pandemics (2024 May W21),Participant,Other,Weak yes,Accept,75-99%,High-quality,No
rec00M4ME7aiSFkKv,Unknown,AI Alignment,AI Alignment (2024 Feb W08),Participant,Organic Social Media,Strong no,Reject,0%,,Unknown
rec0176sdXFpSCDfx,No,AI Governance,AI Governance (2024 Apr W14),Participant,Other,Neutral,Accept,75-99%,DNF,No
rec01sXq1Oilhlvc2,Unknown,AI Alignment,AI Alignment (2023 Jan W03),Participant,Unknown,Strong yes,Reject,0%,,Unknown
rec0222agsCkvdgQu,Unknown,Pandemics,Pandemics (2024 May W21),Participant,Organic Social Media,Weak no,Reject,0%,,Unknown
rec02BgNTfUGQvAuh,No,AI Alignment,AI Alignment (2024 Oct W43),Participant,Referral,Strong yes,Accept,50-75%,DNF,No
rec02hn3IvUWwuKKj,No,AI Governance,AI Governance (2023 Jun W26),Participant,Unknown,Strong yes,Accept,50-75%,DNF,No
rec02OPMWEwS4FovR,Unknown,AI Alignment,AI Alignment (2024 Oct W43),Participant,Ads,Strong no,Reject,0%,,Unknown
rec038HrDpVCFCfqJ,Unknown,AI Governance,AI Governance (2023 Jun W26),Participant,Unknown,Strong no,Reject,0%,,Unknown
rec03hUCHEgyDHG77,No,Pandemics,Pandemics (2024 Sep W40),Participant,Referral,Weak yes,Accept,50-75%,DNF,No
rec04Ia7fZ834wsRV,Unknown,Pandemics,Pandemics (2024 May W21),Facilitator,Other,Weak no,Reject,0%,,Unknown
rec04R5PcMSPN0HOB,Unknown,Pandemics,Pandemics (2024 May W21),Participant,Ads,Strong no,Reject,0%,,Unknown
rec04WI3r6y8pokik,No,AI Alignment,AI Alignment (2024 Oct W43),Facilitator,Referral,Strong yes,Accept,100%,DNF,No
rec05Eu9NstL18xJW,Unknown,AI Alignment,AI Alignment (2024 Feb W08),Participant,Other,Neutral,Reject,0%,,Unknown
rec05G9se9O2BTT8o,Unknown,AI Governance,AI Governance (2023 Jun W26),Participant,Unknown,Strong no,Reject,0%,,Unknown
rec05j204WMOvMpYf,Unknown,AI Alignment,AI Alignment (2024 Feb W08),Participant,Organic Search,Strong no,Reject,0%,,Unknown
rec05VxudVc9GrSQm,No,AI Governance,AI Governance (2023 Jun W26),Participant,Unknown,Strong yes,Accept,25-50%,DNF,No
rec05WQiSJAQFHS0e,Unknown,AI Governance,AI Governance (2024 Apr W14),Participant,Mailing List,Weak no,Reject,0%,,Unknown
rec05zGXxQ13q6OHo,Unknown,AI Governance,AI Governance (2024 Aug W33),Participant,Blogs,Strong no,Reject,0%,,Unknown
rec07ak9pTc5x59bb,Unknown,AI Governance,AI Governance (2024 Aug W33),Participant,Referral,Weak no,Reject,0%,,Unknown
rec07MwLKK4cZAwgF,No,AI Governance,AI Governance (2024 Aug W33),Participant,Mailing List,Weak yes,Accept,0%,DNF,No
rec08BMBvQwp3Udi2,No,AI Alignment,AI Alignment (2023 Jan W03),Participant,Unknown,Strong yes,Accept,0%,DNF,No
rec08Kh8WifQcAbhL,Unknown,AI Governance,AI Governance (2024 Apr W14),Participant,Organic Social Media,Strong no,Reject,0%,,Unknown
rec099KeINYonMWOS,Unknown,AI Governance,AI Governance (2024 Aug W33),Participant,Ads,Strong no,Reject,0%,,Unknown
rec09rlxLUowxtB7H,No,AI Governance,AI Governance (2024 Apr W14),Participant,Referral,Strong yes,Accept,25-50%,DNF,No
rec0aaKOc0oiKYxzC,Unknown,AI Alignment,AI Alignment (2024 Oct W43),Participant,Ads,Strong no,Reject,0%,,Unknown
rec0acWkDfxDi5E7F,Unknown,AI Alignment Fast-Track,AI Alignment Fast-Track (2024 Dec W52),Participant,Referral,Neutral,Reject,0%,,Unknown
