[*] Record ID,High impact job before?,Course,Iteration,Role,Source,Evaluation,Decision,Attendance,Project quality,High impact job after?
rec0qbuLvG5VMqiwL,No,AI Alignment,AI Alignment (2024 Jun W25),Participant,Ads,Weak yes,Accept,50-75%,Low-quality,No
recJN9mlJc6tqglVy,No,AI Alignment,AI Alignment (2024 Jun W25),Participant,Ads,Weak yes,Accept,75-99%,Low-quality,No
recjxlRPIP7pCPWLp,No,AI Alignment,AI Alignment (2024 Jun W25),Participant,Other,Weak yes,Accept,100%,Low-quality,No
recAGqkPlFv4hKTz1,No,AI Governance,AI Governance (2023 Jun W26),Facilitator,Unknown,Neutral,Accept,100%,Low-quality,No
recpcipqiUuFuCDTu,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Other,Neutral,Accept,75-99%,Low-quality,No
rec8HfN1KjA8D9eXN,No,AI Alignment,AI Alignment (2024 Jun W25),Participant,Other,Weak yes,Accept,75-99%,Low-quality,No
recIYKf4FbKrdFlsO,No,Pandemics,Pandemics (2024 May W21),Participant,Organic Social Media,Weak yes,Accept,50-75%,Low-quality,No
recfC72kHkjJ2zefc,No,Pandemics,Pandemics (2024 May W21),Participant,Organic Social Media,Weak yes,Accept,50-75%,Low-quality,No
reciNqSLZS3LQLjTx,No,Pandemics,Pandemics (2024 May W21),Participant,Organic Social Media,Weak yes,Accept,100%,Low-quality,No
recuG8BrqoiPUz8p9,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Communities,Neutral,Accept,75-99%,Low-quality,No
recz6AGUyc4kByO1S,No,Pandemics,Pandemics (2024 May W21),Participant,Organic Social Media,Neutral,Accept,75-99%,Low-quality,No
recHWLiNLZdckWAsK,No,AI Governance,AI Governance (2023 Jun W26),Participant,Unknown,Strong yes,Accept,75-99%,Low-quality,No
recb1XRc8uJ2xGdL3,Yes,AI Alignment,AI Alignment (2024 Jun W25),Participant,Ads,Weak yes,Accept,75-99%,Low-quality,Yes
reci3uA1A2us2DmiU,No,Pandemics,Pandemics (2024 May W21),Participant,Other,Strong yes,Accept,75-99%,Low-quality,No
rece2UmjJRUrvxxEf,No,Pandemics,Pandemics (2024 May W21),Participant,Organic Social Media,Strong yes,Accept,75-99%,Low-quality,No
rec1X7XZrXVSDdh2c,No,AI Governance,AI Governance (2024 Apr W14),Participant,Other,Neutral,Accept,75-99%,Low-quality,No
recvFzjzNU7nmP8eN,No,AI Alignment,AI Alignment (2024 Jun W25),Participant,Unknown,Weak yes,Accept,75-99%,Low-quality,No
rec4DOGQSk6m8cZG7,No,AI Governance,AI Governance (2024 Apr W14),Participant,Other,Neutral,Accept,50-75%,Low-quality,No
recSeM8TIzqmUu2Ql,Unknown,AI Alignment,AI Alignment (2024 Feb W08),Participant,Communities,Weak yes,Accept,75-99%,Low-quality,Unknown
recLoonJXH7xZKwQl,Unknown,AI Governance,AI Governance (2024 Apr W14),Participant,Communities,Weak no,Accept,75-99%,Low-quality,Unknown
recXR4XiIJcdZLT3G,No,Pandemics,Pandemics (2024 May W21),Participant,Other,Weak yes,Accept,75-99%,Low-quality,No
recWieHPeMByvsRWu,No,AI Governance,AI Governance (2024 Apr W14),Participant,Organic Search,Strong yes,Accept,100%,Low-quality,No
recnTPB7uZk7AuBk0,No,AI Governance,AI Governance (2024 Apr W14),Participant,Referral,Neutral,Accept,75-99%,Low-quality,No
recBzIse83RRWUprh,No,AI Alignment,AI Alignment (2023 Jan W03),Participant,Unknown,Strong yes,Accept,0%,Low-quality,No
recEx5uBXqRI3sKLe,No,Pandemics,Pandemics (2024 May W21),Participant,Other,Neutral,Accept,75-99%,Low-quality,No
rec6UX2Bpt9Xpl8lZ,No,AI Alignment,AI Alignment (2024 Jun W25),Participant,Other,Weak yes,Accept,50-75%,Low-quality,No
recEWO8TjJzsMrCCY,No,AI Alignment,AI Alignment (2024 Jun W25),Participant,Organic Search,Weak yes,Accept,75-99%,Low-quality,No
recvFpzRvmu1sDxyG,No,AI Alignment,AI Alignment (2023 Jan W03),Participant,Unknown,Strong yes,Accept,0%,Low-quality,No
recFFVrYSedc4l8pQ,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Other,Weak yes,Accept,75-99%,Low-quality,Yes
rec4JLNWotbHXh0sY,No,AI Alignment,AI Alignment (2023 Jan W03),Participant,Unknown,Strong yes,Accept,0%,Low-quality,No
rec7njyIjEThwhNJS,No,AI Governance,AI Governance (2023 Jun W26),Participant,Unknown,Neutral,Accept,75-99%,Low-quality,No
recnXXjZQvwsOdqXW,No,Pandemics,Pandemics (2024 May W21),Participant,Referral,Neutral,Accept,75-99%,Low-quality,No
recxwpvgkxgfE7L12,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Other,Weak yes,Accept,75-99%,Low-quality,No
rec6RnUxx6PeRI7ar,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Other,Weak yes,Accept,50-75%,Low-quality,Yes
rec6p6RS8jsHodYXr,Unknown,AI Alignment,AI Alignment (2024 Feb W08),Participant,Other,Neutral,Accept,75-99%,Low-quality,Unknown
recnmge3IgYGgtFnw,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Referral,Strong yes,Accept,50-75%,Low-quality,No
recusUlZZTBUxw07S,No,AI Alignment,AI Alignment (2024 Jun W25),Participant,Unknown,Weak yes,Accept,50-75%,Low-quality,No
recKUMJoOX8mlSPd1,Yes,AI Alignment,AI Alignment (2024 Jun W25),Participant,Referral,Strong yes,Accept,75-99%,Low-quality,Yes
recHzM6WmIRhDKvM3,No,AI Governance,AI Governance (2024 Apr W14),Participant,Organic Search,Weak yes,Accept,50-75%,Low-quality,No
recuCttK7xLpglcQK,No,Pandemics,Pandemics (2024 May W21),Participant,Referral,Neutral,Accept,50-75%,Low-quality,No
reciUer5RYkmnl1sY,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Organic Search,Weak yes,Accept,75-99%,Low-quality,No
recejxrJoOSbsjab2,No,AI Alignment,AI Alignment (2023 Jan W03),Participant,Unknown,Strong yes,Accept,0%,Low-quality,No
recPS3ejf7XRrDuuy,No,Pandemics,Pandemics (2024 May W21),Participant,Referral,Weak yes,Accept,75-99%,Low-quality,No
recUprMaBBkH9KXMu,No,Pandemics,Pandemics (2023 Oct W40),Participant,Referral,Strong yes,Accept,75-99%,Low-quality,No
recAjVbICgcMLGjVc,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Unknown,Weak yes,Accept,75-99%,Low-quality,No
recONOmK9W1o9YVhJ,No,AI Alignment,AI Alignment (2024 Jun W25),Participant,Unknown,Weak yes,Accept,75-99%,Low-quality,No
rec65npi9AthrUNL3,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Organic Social Media,Neutral,Accept,75-99%,Low-quality,No
recflXFYUtUoIenTC,Unknown,AI Alignment,AI Alignment (2024 Feb W08),Participant,Other,Strong yes,Accept,75-99%,Low-quality,Unknown
rechsNNJ4eg4Ec70d,No,Pandemics,Pandemics (2024 May W21),Participant,Referral,Weak yes,Accept,75-99%,Low-quality,No
recbMFflMV7QHtvEp,No,AI Alignment,AI Alignment (2023 Jan W03),Participant,Organic Search,Strong yes,Accept,0%,Low-quality,No
recSa6g9ELGsaavhN,No,AI Alignment,AI Alignment (2024 Jun W25),Participant,Organic Social Media,Weak yes,Accept,75-99%,Low-quality,No
reclC1Sejx3mU96oi,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Blogs,Weak yes,Accept,75-99%,Low-quality,No
recEAZYUAaAWVuaO5,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Other,Weak yes,Accept,50-75%,Low-quality,No
recCSRdZY84CUIggB,No,AI Alignment,AI Alignment (2024 Feb W08),Participant,Other,Neutral,Accept,75-99%,Low-quality,No
rec20XtZSb7wSpP61,Unknown,AI Governance,AI Governance (2024 Apr W14),Participant,Organic Social Media,Strong yes,Accept,75-99%,Low-quality,Unknown
recmnGLInEe69NweP,No,Pandemics,Pandemics (2023 Oct W40),Participant,Referral,Strong yes,Accept,100%,Low-quality,No
recdwVV9jIRxP05d0,Unknown,AI Alignment,AI Alignment (2024 Feb W08),Participant,Unknown,Weak yes,Accept,50-75%,Low-quality,Unknown
